srg_id,oscal_id,family,name,leveraged_from_fedramp_high,in_nist_high_baseline,profile_group,dod_param_present
AC-1,ac-1,ACCESS CONTROL,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
AC-2,ac-2,ACCESS CONTROL,Account Management,Yes,Yes,baseline-from-nist-high,No
AC-2(1),ac-2.1,ACCESS CONTROL,Account Management | Automated System Account Management,Yes,Yes,baseline-from-nist-high,No
AC-2(2),ac-2.2,ACCESS CONTROL,Account Management | Automated Temporary and Emergency Account Management,Yes,Yes,baseline-from-nist-high,No
AC-2(3),ac-2.3,ACCESS CONTROL,Account Management | Disable Accounts,Yes,Yes,baseline-from-nist-high,No
AC-2(4),ac-2.4,ACCESS CONTROL,Account Management | Automated Audit Actions,Yes,Yes,baseline-from-nist-high,No
AC-2(5),ac-2.5,ACCESS CONTROL,Account Management | Inactivity Logout,Yes,Yes,baseline-from-nist-high,No
AC-2(7),ac-2.7,ACCESS CONTROL,Account Management | Privileged User Accounts,Yes,No,il5-fedramp-plus-additions,No
AC-2(9),ac-2.9,ACCESS CONTROL,Account Management | Restrictions on Use of Shared and Group Accounts,Yes,No,il5-fedramp-plus-additions,No
AC-2(11),ac-2.11,ACCESS CONTROL,Account Management | Usage Conditions,Yes,Yes,baseline-from-nist-high,No
AC-2(12),ac-2.12,ACCESS CONTROL,Account Management | Account Monitoring for Atypical Usage,Yes,Yes,baseline-from-nist-high,No
AC-2(13),ac-2.13,ACCESS CONTROL,Account Management | Disable Accounts for High-risk Individuals,Yes,Yes,baseline-from-nist-high,No
AC-3,ac-3,ACCESS CONTROL,Access Enforcement,Yes,Yes,baseline-from-nist-high,No
AC-3(4),ac-3.4,ACCESS CONTROL,Access Enforcement | Discretionary Access Control,No,No,il5-nss-overlay,No
AC-4,ac-4,ACCESS CONTROL,Information Flow Enforcement,Yes,Yes,baseline-from-nist-high,No
AC-4(4),ac-4.4,ACCESS CONTROL,Information Flow Enforcement | Flow Control of Encrypted Information,Yes,Yes,baseline-from-nist-high,No
AC-4(21),ac-4.21,ACCESS CONTROL,Information Flow Enforcement | Physical or Logical Separation of Information Flows,Yes,No,il5-fedramp-plus-additions,No
AC-5,ac-5,ACCESS CONTROL,Separation of Duties,Yes,Yes,baseline-from-nist-high,No
AC-6,ac-6,ACCESS CONTROL,Least Privilege,Yes,Yes,baseline-from-nist-high,No
AC-6(1),ac-6.1,ACCESS CONTROL,Least Privilege | Authorize Access to Security Functions,Yes,Yes,baseline-from-nist-high,No
AC-6(2),ac-6.2,ACCESS CONTROL,Least Privilege | Non-privileged Access for Nonsecurity Functions,Yes,Yes,baseline-from-nist-high,No
AC-6(3),ac-6.3,ACCESS CONTROL,Least Privilege | Network Access to Privileged Commands,Yes,Yes,baseline-from-nist-high,No
AC-6(5),ac-6.5,ACCESS CONTROL,Least Privilege | Privileged Accounts,Yes,Yes,baseline-from-nist-high,No
AC-6(7),ac-6.7,ACCESS CONTROL,Least Privilege | Review of User Privileges,Yes,Yes,baseline-from-nist-high,No
AC-6(8),ac-6.8,ACCESS CONTROL,Least Privilege | Privilege Levels for Code Execution,Yes,No,il5-fedramp-plus-additions,No
AC-6(9),ac-6.9,ACCESS CONTROL,Least Privilege | Log Use of Privileged Functions,Yes,Yes,baseline-from-nist-high,No
AC-6(10),ac-6.10,ACCESS CONTROL,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,Yes,Yes,baseline-from-nist-high,No
AC-7,ac-7,ACCESS CONTROL,Unsuccessful Logon Attempts,No,Yes,il5-nss-overlay,Yes
AC-8,ac-8,ACCESS CONTROL,System Use Notification,Yes,Yes,baseline-from-nist-high,No
AC-10,ac-10,ACCESS CONTROL,Concurrent Session Control,Yes,Yes,baseline-from-nist-high,No
AC-11,ac-11,ACCESS CONTROL,Device Lock,Yes,Yes,baseline-from-nist-high,No
AC-11(1),ac-11.1,ACCESS CONTROL,Device Lock | Pattern-hiding Displays,Yes,Yes,baseline-from-nist-high,No
AC-12,ac-12,ACCESS CONTROL,Session Termination,Yes,Yes,baseline-from-nist-high,No
AC-12(1),ac-12.1,ACCESS CONTROL,Session Termination | User-initiated Logouts,No,No,il5-nss-overlay,No
AC-12(2),ac-12.2,ACCESS CONTROL,Session Termination | Termination Message,No,No,il5-nss-overlay,No
AC-14,ac-14,ACCESS CONTROL,Permitted Actions Without Identification or Authentication,Yes,Yes,baseline-from-nist-high,No
AC-16,ac-16,ACCESS CONTROL,Security and Privacy Attributes,No,No,il5-nss-overlay,No
AC-16(6),ac-16.6,ACCESS CONTROL,Security and Privacy Attributes | Maintenance of Attribute Association,No,No,il5-nss-overlay,No
AC-16(7),ac-16.7,ACCESS CONTROL,Security and Privacy Attributes | Consistent Attribute Interpretation,No,No,il5-nss-overlay,No
AC-17,ac-17,ACCESS CONTROL,Remote Access,Yes,Yes,baseline-from-nist-high,No
AC-17(1),ac-17.1,ACCESS CONTROL,Remote Access | Monitoring and Control,Yes,Yes,baseline-from-nist-high,No
AC-17(2),ac-17.2,ACCESS CONTROL,Remote Access | Protection of Confidentiality and Integrity Using Encryption,Yes,Yes,baseline-from-nist-high,No
AC-17(3),ac-17.3,ACCESS CONTROL,Remote Access | Managed Access Control Points,Yes,Yes,baseline-from-nist-high,No
AC-17(4),ac-17.4,ACCESS CONTROL,Remote Access | Privileged Commands and Access,Yes,Yes,baseline-from-nist-high,No
AC-17(6),ac-17.6,ACCESS CONTROL,Remote Access | Protection of Mechanism Information,No,No,il5-nss-overlay,No
AC-17(9),ac-17.9,ACCESS CONTROL,Remote Access | Disconnect or Disable Access,No,No,il5-nss-overlay,No
AC-17(10),ac-17.10,ACCESS CONTROL,Remote Access | Authenticate Remote Commands,No,No,il5-nss-overlay,No
AC-18,ac-18,ACCESS CONTROL,Wireless Access,Yes,Yes,baseline-from-nist-high,No
AC-18(1),ac-18.1,ACCESS CONTROL,Wireless Access | Authentication and Encryption,Yes,Yes,baseline-from-nist-high,No
AC-18(3),ac-18.3,ACCESS CONTROL,Wireless Access | Disable Wireless Networking,Yes,Yes,baseline-from-nist-high,No
AC-18(4),ac-18.4,ACCESS CONTROL,Wireless Access | Restrict Configurations by Users,Yes,Yes,baseline-from-nist-high,No
AC-18(5),ac-18.5,ACCESS CONTROL,Wireless Access | Antennas and Transmission Power Levels,Yes,Yes,baseline-from-nist-high,No
AC-19,ac-19,ACCESS CONTROL,Access Control for Mobile Devices,Yes,Yes,baseline-from-nist-high,No
AC-19(5),ac-19.5,ACCESS CONTROL,Access Control for Mobile Devices | Full Device or Container-based Encryption,Yes,Yes,baseline-from-nist-high,No
AC-20,ac-20,ACCESS CONTROL,Use of External Systems,Yes,Yes,baseline-from-nist-high,No
AC-20(1),ac-20.1,ACCESS CONTROL,Use of External Systems | Limits on Authorized Use,Yes,Yes,baseline-from-nist-high,No
AC-20(2),ac-20.2,ACCESS CONTROL,Use of External Systems | Portable Storage Devices — Restricted Use,Yes,Yes,baseline-from-nist-high,No
AC-20(3),ac-20.3,ACCESS CONTROL,Use of External Systems | Non-organizationally Owned Systems — Restricted Use,No,No,il5-nss-overlay,No
AC-21,ac-21,ACCESS CONTROL,Information Sharing,Yes,Yes,baseline-from-nist-high,No
AC-22,ac-22,ACCESS CONTROL,Publicly Accessible Content,Yes,Yes,baseline-from-nist-high,No
AC-23,ac-23,ACCESS CONTROL,Data Mining Protection,No,No,il5-nss-overlay,No
AT-1,at-1,AWARENESS AND TRAINING,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
AT-2,at-2,AWARENESS AND TRAINING,Literacy Training and Awareness,Yes,Yes,baseline-from-nist-high,No
AT-2(2),at-2.2,AWARENESS AND TRAINING,Literacy Training and Awareness | Insider Threat,Yes,Yes,baseline-from-nist-high,No
AT-2(3),at-2.3,AWARENESS AND TRAINING,Literacy Training and Awareness | Social Engineering and Mining,Yes,Yes,baseline-from-nist-high,No
AT-2(4),at-2.4,AWARENESS AND TRAINING,Literacy Training and Awareness | Suspicious Communications and Anomalous System Behavior,No,No,il5-nss-overlay,No
AT-2(5),at-2.5,AWARENESS AND TRAINING,Literacy Training and Awareness | Advanced Persistent Threat,No,No,il5-nss-overlay,No
AT-2(6),at-2.6,AWARENESS AND TRAINING,Literacy Training and Awareness | Cyber Threat Environment,No,No,il5-nss-overlay,No
AT-3,at-3,AWARENESS AND TRAINING,Role-based Training,Yes,Yes,baseline-from-nist-high,No
AT-3(1),at-3.1,AWARENESS AND TRAINING,Role-based Training | Environmental Controls,No,No,il5-nss-overlay,No
AT-3(2),at-3.2,AWARENESS AND TRAINING,Role-based Training | Physical Security Controls,No,No,il5-nss-overlay,No
AT-4,at-4,AWARENESS AND TRAINING,Training Records,Yes,Yes,baseline-from-nist-high,No
AT-6,at-6,AWARENESS AND TRAINING,Training Feedback,No,No,il5-nss-overlay,No
AU-1,au-1,AUDIT AND ACCOUNTABILITY,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
AU-2,au-2,AUDIT AND ACCOUNTABILITY,Event Logging,Yes,Yes,baseline-from-nist-high,No
AU-3,au-3,AUDIT AND ACCOUNTABILITY,Content of Audit Records,Yes,Yes,baseline-from-nist-high,No
